37|82|51,8
7,6|85,4|38,9
46|88,7|29,5
21|73,9|16,6
20,2|77,1|13
-2,9|43|24,1
2,5|85,1|35,3
9,7|92,4|24,1
52|81,3|48,2
21,8|68,4|18,4
14,8|45|13
5,8|74,7|35,3
13|68,6|18,4
96|76,2|46,4
8,1|91,6|9,4
0,8|44|51,8
-13|84,1|29,5
18|78|13
16,3|92,9|20,5
12,4|73,3|44
7,2|89,1|38,9
13,6|67|13
92|79,3|46,4
-21|91,1|24,1
126|80,2|22,3
4,3|86,6|24,1
9,2|80,1|29,5
-16|82,3|42,5
6,6|91,8|35,3
13,8|93|13
119|75,7|27,7
14,2|82,7|25,9
14,4|72,7|25,9
1,4|45|29,5
2,4|92,1|20,5
5,9|85|42
20|55,5|16,6
-41|89,4|31,3
3,4|45|9,4
14,2|88,8|18,4
16,4|72,9|16,6
5,2|82,4|16,6
13,6|78,6|59,4
125|85,1|31,3
14|85,3|25,9
16,8|83,5|24,1
12,3|85,4|35,3
-1,6|92|14,8
15,3|64,3|31,3
-21|73|24,1
2,9|82,7|38,9
21|74,3|16,6
2|94,5|13
21,1|70,5|18,4
17,4|70,1|42
10,9|45|44,3
6,8|75,6|27,7
107|82,8|13
3,1|86,9|41
17,4|74|20,5
-22|89,6|35,3
-3,7|87,2|29,5
4,5|98,7|24,1
17,1|85,2|27,7
13,4|78,8|14,8
14,3|77,5|22,3
8,2|88,1|27,7
8,5|85,7|48,2
130|95,8|25,9
10,2|81,2|38,9
-1,4|79,3|42
3,1|97|13
15|75|22,3
7,5|45|44,3
